Time: 2021/03/15 03:12:42
 31 15.727342579840686 74.67780045901937 0.03856726486245929, 
 32 44.40520446472994 50.93715207522301 0.19887918422452536, 
 33 57.96196853941292 75.01876638219383 0.013425041134557392, 
 34 72.41310668372411 21.254443055326387 0.22166898678076502, 
 35 15.119021615825012 43.480785920738406 0.11854174814309859, 
 36 52.790335972188764 26.675391191245247 0.16030621544522541, 
 37 3.2020253869215476 44.878839675267145 0.21875975672451922, 
 38 64.1096082674041 7.063297812421321 0.14391907302962503, 
 39 53.216553439004755 43.14035599805109 0.2055117674240332, 
 40 75.23109852098781 62.873340516580775 0.1030795472953365, 
 41 95.21211376519878 17.63595046169053 0.0411467532510692, 
 42 7.131936155777641 17.679637891785617 0.17139904308091802, 
 43 86.72653526816215 59.07811826095378 0.2292678136509533, 
 44 20.27371819924725 11.3763699554014 0.07007528721366829, 
 45 89.22513943802188 68.40489239792423 0.10229431450834975, 
 46 9.930444048643094 29.811183287725395 0.21480903902221246, 
 47 62.5992384153106 30.596544784509284 0.15498221683805305, 
 48 89.87486782736723 81.42369594509258 0.11131128105490812, 
 49 18.990904886021674 89.9528708890715 0.038849039922592504, 
 50 47.185158398611115 31.436316928073747 0.18533826428924877, 
 51 55.194533336230066 79.31882288193933 0.0420109108497895, 
 52 43.330767463198015 41.95475195229501 0.10321549951200878, 
 53 68.13836637616366 54.356469981102315 0.1201018909489642, 
 54 15.708238852551215 33.094685008460935 0.17137876378543443, 
 55 74.39708155266598 17.428881039697075 0.021054239679487385, 
 56 31.944219541230535 40.50995792417365 0.12815069177331462, 
 57 74.69265791785833 32.13057388845596 0.022513827915089574, 
 58 60.02082772719063 61.444505135635005 0.21720913219613328, 
 59 73.70606704753932 88.05221864046338 0.15957883711365362, 
 60 20.002702380737237 41.09101464325019 0.17175599541522332, 
 61 28.48506057154182 71.02343667640373 0.13001090859903305, 
 62 68.18718296105185 88.47708300977098 0.16787394880496054, 
 63 22.969258098794963 82.79403650654172 0.1377952074655293, 
 64 58.12891591994402 34.61537181532821 0.22891818488131274, 
 65 67.7760750804123 77.78540662710738 0.14623510165472725, 
 66 12.414759921973072 61.9860931779814 0.12383041824543695, 
 67 92.95075074474339 96.0019500633247 0.1020657069909281, 
 68 97.42846204908479 73.7440164089584 0.04712477464511003, 
 69 24.868856885014633 59.2070791464917 0.08936080488596396, 
 70 4.729694544959894 11.971151631769972 0.057966893929227575, 
 71 28.316223484292568 11.74630377315643 0.2493851624879211, 
 72 27.0976309431891 28.881337352216498 0.178577917118758, 
 73 10.8222464041426 63.585934810621545 0.14169849677311716, 
 74 55.71290329593265 13.612325687718062 0.08631862967830839, 
 75 61.889133555226685 77.81191959377394 0.12553153679277967, 
 76 84.26753943451834 54.04024466495887 0.009762795194636326, 
 77 66.57966922928658 20.51880389418753 0.0951056984192579, 
 78 63.83283486933126 90.28417079841358 0.002214394364380423, 
 79 46.175751902697115 1.1708858534043354 0.04062652141636469, 
 80 22.84913218504514 90.03535928364934 0.23916591348146743, 
 81 41.91224737022817 5.53077205891872 0.019211780227479047, 
 82 24.33663979025551 39.78495718309281 0.23168316629913888, 
 83 48.17649920646203 1.456760379192057 0.1691760769468824, 
 84 38.006872316025984 18.111547850426945 0.13052823116496035, 
 85 94.53145704882215 56.53943509869046 0.032636956686876495, 
 86 29.962347508903587 63.538796472594285 0.09573349418721444, 
 87 70.3955853995057 82.88637214076542 0.057178528559193975, 
 88 24.627198995489774 9.634652611532191 0.03039510280832916, 
 89 29.558686133945088 41.51668499776382 0.17774719656531454, 
 90 40.91040713491301 71.98538651997319 0.17258858047102893, 
 91 24.730450610978515 30.87615923864371 0.15659284211651084, 
 92 1.761124053833485 96.86573827522771 0.10478932249613629, 3 1.8245750053773158 97.05912659550438 0.1843228475894774, 
 93 24.246149218018488 20.948484430488655 0.137035525966579, 
 94 28.563705345522518 29.704101369629953 0.14011861610899343, 
 95 96.56706518140011 7.275770165033457 0.14735235336771085, 
 96 60.50862881884669 16.10981790718705 0.020585607572493336, 
 97 4.425564685275352 64.80637413585411 0.13395657515282414, 
 98 46.37101113111141 91.02623313952714 0.2455573748576193, 
 99 93.92668092079414 7.692450090044578 0.18918927138996947, 
